ticker,sector,tsne_x,tsne_y
BAC,Finance,214.33952,-51.410557
XOM,Energy,-69.95477,173.91017
GOOGL,Technology,-132.77872,-174.1914
NKE,Consumer,329.41016,40.71126
MSFT,Technology,-180.85782,-249.63283
PFE,Healthcare,280.93594,-26.772839
DAL,Industrials,141.69702,52.886703
HAL,Energy,221.31628,68.002846
META,Technology,-674.9635,-494.44553
GS,Finance,188.0007,399.60492
UNH,Healthcare,-232.28531,-122.8662
NVDA,Technology,54.760693,-209.29326
CAT,Industrials,256.53735,389.06683
JPM,Finance,-167.09003,-80.950035
AAPL,Technology,-46.42273,-194.06242
KO,Consumer,155.65947,121.31488
MCD,Consumer,-238.39911,-40.83711
MMM,Industrials,-8.483215,109.88559
CVX,Energy,-98.94073,99.68254
JNJ,Healthcare,-154.65407,36.332897
